PERFORMANCE SUMMARY — Test Period 2020–2024
Strategy,Total Return,Ann. Return,Sharpe,Max Drawdown
Meta-Agent,+206.5%,+25.2%,1.102,-32.3%
Agent 1 (Risk-Averse),+171.3%,+22.2%,1.035,-32.2%
Agent 2 (Return-Max),+177.1%,+22.7%,0.954,-32.4%
SPY,+99.7%,+14.9%,0.659,-33.7%
Equal-Weight,+126.5%,+17.9%,0.885,-29.9%
60/40 (SPY+IEF),+99.7%,+14.9%,0.659,-33.7%

ROLLING WINDOW RETURNS (6-month)
Window,Meta-Agent,Agent 1 (Risk-Averse),Agent 2 (Return-Max),SPY
2020 H1,+1.7%,-5.6%,+3.0%,-4.1%
2020 H2,+24.5%,+23.4%,+25.8%,+22.3%
2021 H1,+22.6%,+23.4%,+18.8%,+15.2%
2021 H2,+13.7%,+14.9%,+11.8%,+11.7%
2022 H1,-9.2%,-9.1%,-18.3%,-20.0%
2022 H2,+15.1%,+12.3%,+15.4%,+2.3%
2023 H1,+15.9%,+15.4%,+15.4%,+16.8%
2023 H2,+10.8%,+12.9%,+11.2%,+8.0%
2024 H1,+18.5%,+15.1%,+21.1%,+15.2%
2024 H2,+9.2%,+7.3%,+9.9%,+11.2%
